rings_contact.py grid, N=200 shells, t_end=20, dt=5e-5, eps=0.02, 3 seeds. eta_c=1e9 is the ballistic null.
f sigma eta_c | unbound mean (min-max) | max|dE/E| | edges per seed (mass fractions)
0.8 0.3 1e+09 | 0.88 (0.82-0.93) | 0.0000 | [0.95]; [0.95]; [0.95]
0.8 0.5 0.03 | 0.36 (0.33-0.41) | 0.0028 | [0.05, 0.65, 0.75, 0.85, 0.9, 0.95]; [0.05, 0.9, 0.95]; [0.05, 0.45, 0.65, 0.75, 0.85, 0.9, 0.95]
0.8 0.5 0.1 | 0.36 (0.33-0.41) | 0.0028 | [0.05, 0.65, 0.75, 0.85, 0.9, 0.95]; [0.05, 0.9, 0.95]; [0.05, 0.45, 0.65, 0.75, 0.85, 0.9, 0.95]
0.8 0.5 0.3 | 0.36 (0.33-0.41) | 0.0028 | [0.05, 0.65, 0.75, 0.85, 0.9, 0.95]; [0.05, 0.9, 0.95]; [0.05, 0.45, 0.65, 0.75, 0.85, 0.9, 0.95]
0.8 0.5 1e+09 | 0.66 (0.64-0.69) | 0.0000 | [0.05, 0.15, 0.25, 0.75, 0.9, 0.95]; [0.05, 0.1, 0.15, 0.35, 0.95]; [0.05, 0.1, 0.8, 0.95]
0.8 1.0 0.03 | 0.51 (0.45-0.54) | 0.0053 | [0.05, 0.65, 0.75, 0.85, 0.9, 0.95]; [0.05, 0.25, 0.75, 0.85, 0.9, 0.95]; [0.05, 0.8, 0.85, 0.9, 0.95]
0.8 1.0 0.1 | 0.51 (0.45-0.54) | 0.0053 | [0.05, 0.65, 0.75, 0.85, 0.9, 0.95]; [0.05, 0.25, 0.75, 0.85, 0.9, 0.95]; [0.05, 0.8, 0.85, 0.9, 0.95]
0.8 1.0 0.3 | 0.51 (0.45-0.54) | 0.0053 | [0.05, 0.65, 0.75, 0.85, 0.9, 0.95]; [0.05, 0.25, 0.75, 0.85, 0.9, 0.95]; [0.05, 0.8, 0.85, 0.9, 0.95]
0.8 1.0 1e+09 | 0.61 (0.59-0.63) | 0.0000 | [0.05, 0.15, 0.2, 0.3, 0.95]; [0.05, 0.1, 0.15, 0.2, 0.35, 0.95]; [0.05, 0.1, 0.15, 0.2, 0.4, 0.8, 0.95]
0.9 0.0 0.03 | 0.44 (0.43-0.45) | 0.0014 | [0.2, 0.75, 0.9, 0.95]; [0.05, 0.85, 0.9, 0.95]; [0.05, 0.2, 0.85, 0.9, 0.95]
0.9 0.0 0.1 | 0.44 (0.43-0.45) | 0.0014 | [0.2, 0.75, 0.9, 0.95]; [0.05, 0.85, 0.9, 0.95]; [0.05, 0.2, 0.85, 0.9, 0.95]
0.9 0.0 0.3 | 0.44 (0.43-0.45) | 0.0014 | [0.2, 0.75, 0.9, 0.95]; [0.05, 0.85, 0.9, 0.95]; [0.05, 0.2, 0.85, 0.9, 0.95]
0.9 0.0 1e+09 | 1.00 (1.00-1.00) | 0.0000 | [0.05]; [0.05]; [0.05]
